year,age,cohort,sex,race,educ,realinc,gunlaw,grass,wtssall,age2,educ2
1972,23.0,1949.0,2,2,13.0,24366.0,1.0,,0.8893,529.0,169.0
1972,33.0,1939.0,2,1,9.0,24366.0,,,0.8893,1089.0,81.0
1972,67.0,1905.0,1,2,,18951.0,,,1.3339,4489.0,
1972,45.0,1927.0,2,2,10.0,18951.0,2.0,,1.3339,2025.0,100.0
1972,22.0,1950.0,1,1,14.0,50763.0,1.0,,1.3339,484.0,196.0
1972,80.0,1892.0,2,1,6.0,2707.0,2.0,,0.4446,6400.0,36.0
1972,38.0,1934.0,1,1,12.0,43994.0,2.0,,0.8893,1444.0,144.0
1972,73.0,1899.0,1,1,7.0,2707.0,2.0,,0.8893,5329.0,49.0
1972,32.0,1940.0,2,1,16.0,50763.0,1.0,,0.8893,1024.0,256.0
1972,41.0,1931.0,1,1,11.0,,,,1.3339,1681.0,121.0
1972,49.0,1923.0,2,1,11.0,30458.0,1.0,,1.3339,2401.0,121.0
1972,27.0,1945.0,2,1,8.0,37226.0,1.0,,1.7786,729.0,64.0
1972,59.0,1913.0,1,1,14.0,60915.0,2.0,,0.8893,3481.0,196.0
1972,56.0,1916.0,1,1,10.0,24366.0,1.0,,1.3339,3136.0,100.0
1972,39.0,1933.0,1,1,8.0,13537.0,1.0,,0.8893,1521.0,64.0
1972,19.0,1953.0,1,1,10.0,2707.0,2.0,,1.3339,361.0,100.0
1972,80.0,1892.0,2,1,16.0,13537.0,1.0,,0.4446,6400.0,256.0
1972,43.0,1929.0,2,2,8.0,2707.0,1.0,,0.8893,1849.0,64.0
1972,45.0,1927.0,1,2,12.0,30458.0,2.0,,2.2232,2025.0,144.0
1972,56.0,1916.0,1,1,13.0,43994.0,1.0,,1.3339,3136.0,169.0
1972,47.0,1925.0,1,1,7.0,37226.0,1.0,,1.3339,2209.0,49.0
1972,49.0,1923.0,2,1,12.0,,1.0,,0.8893,2401.0,144.0
1972,62.0,1910.0,1,1,8.0,2707.0,1.0,,1.3339,3844.0,64.0
1972,48.0,1924.0,2,2,12.0,,1.0,,0.8893,2304.0,144.0
1972,73.0,1899.0,1,1,7.0,2707.0,2.0,,0.8893,5329.0,49.0
1972,62.0,1910.0,1,1,7.0,2707.0,1.0,,0.8893,3844.0,49.0
1972,48.0,1924.0,1,2,9.0,13537.0,1.0,,0.8893,2304.0,81.0
1972,59.0,1913.0,1,2,2.0,13537.0,2.0,,2.2232,3481.0,4.0
1972,52.0,1920.0,1,2,2.0,18951.0,2.0,,1.7786,2704.0,4.0
1972,56.0,1916.0,1,2,6.0,13537.0,1.0,,1.3339,3136.0,36.0
1972,40.0,1932.0,1,1,7.0,37226.0,1.0,,1.7786,1600.0,49.0
1972,78.0,1894.0,1,1,16.0,24366.0,1.0,,0.8893,6084.0,256.0
